Title, product_price, shipping 
Cast Aluminium 12v Blower / Bellows , £24.99, £33.59 postage
Ametek Rotron 12v Brushless Blower P/N 071127 - 22|000 rpm, £24.99, £33.22 postage
Cantoni Motor, £75.00, £34.37 postage
Steinmetz AS100-300 Abrichtspindel Kopp 51403087| Steinmetz Schleiftechnik, £1|822.09, £135.33 postage
Showa RZ-SW17 Electric Motor FNIP, £790.70, £86.36 postage
Bosch 390-242-404 Stretch Wrap Wrapping Electric Motor (Wiper Motor?) - New, £121.95, £40.47 postage
Steinmetz Abrichtspindel| Steinmetz AS100-300| Spindle Motor 1A Condition, £1|822.09, £135.33 postage
Würges HV8/2 Vibrations Motor 380 Volt AC Vibrator Fördermotor, £367.18, £81.20 postage
Beck 20-2201-33 Actuator Motor, £120.36, £157.35 postage
Perske VS30.06-2| Milling Spindle RPM 17300 1/Minimum 0|3 Kw| Collet Recording, £276.86, £36.31 postage
EMERSON 1/2 HP Hazardous Location Motor, £83.02, £70.51 postage
SEW MOTOR WA20/T DR63L4/TF kW0.25/0.25 S1 220/240 V, £180.00, £15.00 postage
Siemens SQN31.401A2700 Damper Motor Actuator 220-240VAC 50-60Hz 6.5VA 3Nm - New, £443.46, £36.03 postage
300W 48V 52mm High Speed Spindle Motor 12000rpm er11 CNC Collet for DIY Engra..., £69.99, £34.29 postage
Pacific Scientific 33VM52 020 9 Micro Switch Dc Control Motor + Analog, £389.26, £40.60 postage
Perske Kcs 71.20-2D Spindle Motor 4|5 -8kW RPM 2870-5900 Minimum 50-100Hz Unused, £1|347.40, £172.03 postage
Ice-O-Matic Ice Machine Fan Motor 1/20HP 35W 0.54A 230V 50Hz 1250 RPM, £36.77, £40.63 postage
Perske KCS70.12-2D High Speed Motor RPM 2860-7080 Minimum 50-120 Hz Unused, £885.65, £172.03 postage
Perske KCS70.12-2D Hochtourige Motor 2|7 -5 Kw 2860-7080 Min. 50-120 Hz Unused, £922.58, £172.03 postage
Pool Pump Motor|3 HP|3450 RPM|208-230VAC USN1302, £396.14, £90.93 postage
US Motors Shur Stop Electric Brake with Emerson F016 Motor 1HP 3ph 415V 50Hz New, £277.16, £119.82 postage
ABB AV2321000 Pneumatic I/P Positioner 150PSI 4-20MA 30VDC - Good Used , £110.86, £49.89 postage
WARNER ELECTRIC 3A SLO-SYN EXPLOSION PROOF MOTOR X1500 *NO WIRING BOX*, £232.51, £198.94 postage
1pcs Used Schneider Servo Motor BCH0801O12A1C 400W, £218.99, £32.00 postage
Fan Motor Hanning L7mw84D-148 Electrolux /Juno OH6555 Electrolux OK1910 , £450.00, £70.00 postage
Pool Motor|2 HP|3450 RPM|115/208-230VAC UST1202, £207.16, £73.14 postage
Landis&Gyr SQM50.480.A1 Damper Actuator Motor (Siemens) - Good Used Condition, £110.86, £58.20 postage
Specialty Motors 90-320-1 1/2hp Motor Model YY139/45-6X, £71.16, £100.89 postage
MARATHON 0.25 HP  AC MOTOR 1725 RPM TEFC 230VAC  FR: 48   1 PHASE  NEW!, £36.33, £54.95 postage
JVM synchronous motor 18r/min 110/120V AC 60Hz 4W Free Shipping, £5.14, £19.25 postage
LEESON 5PGH7/192205.00 2HP IEC PREMIUM EFFICIENCY METRIC MOTOR| 230-460/50-60/3, £170.79, £161.34 postage
Bonfiglioli VF 110 Gear Motor 2|89A 230/400V BN80B6 New NMP, £79.95, £69.99 postage
MFM-610 (Fasco D1124 Replacement)  1/20 HP 115 Volt Refrigeration Fan Motor ECM, £27.67, £42.60 postage
Evaporator Motor Split Capacitor InterLink Model: YSLB-50-4-B004 P/N25309501 , £31.63, £42.66 postage
Pool Motor|1-1/2 HP|3450 RPM|115/230VAC B123, £216.65, £96.32 postage
Emerson K55HXSMA-1645 48Y electric Motor Hvac K1645 1/6hp 1550rpm 208-230v Fan, £106.74, £22.53 postage
Nema 17 Bipolar Stepper Motor  60mm 120oz.in(80Ncm) 1.5A 4 Lead CNC 3D Printer, £19.00, Free postage
ROSTOCK - RS504 - FAN COIL DOUBLE SHAFT MOTOR 1/8 HP 208-230V 50/60HZ 1250/15..., £42.30, £220.16 postage
1pcs New Schneider Servo Motor BMH0702P11A2A, £1|032.99, £32.00 postage
Pool Motor|3/4 HP|3450 RPM|115/230VAC B227SE, £125.72, £55.35 postage
1pcs New Schneider Servo Motor BCH1002O12A1C 2KW, £885.99, £32.00 postage
1pcs New Schneider Servo Motor BCH0801O12A1C 400W, £460.99, £32.00 postage
1pcs New Schneider Servo Motor BCH1304N12F1C, £1|280.99, £48.00 postage
ROSTOCK - RS1860 - SINGLE SHAFT A/C CONDENSER FAN MOTOR 1/4 HP 208-230V 60HZ ..., £45.54, £332.98 postage
ROSTOCK - RS1101 - SHADE POLE FAN MOTOR 1/20HP 115V 50/60HZ 1550 RPM CCW| SHA..., £24.27, £163.88 postage
ENGINE 12V 5000 OBR 220 G / CM +   GENERATOR TACHO/0147, £45.61, £40.00 postage
